SlNo,Mnemonic,Command,Delay,Argument,Read,ReadBinary,Port
101,setYScaleTop,:TRACE:Y:SCALE:TOP,2,True,FALSE,False,Alternate
102,setDivisionYAxis,:TRACE:Y:SCALE:PDIV,2,TRUE,FALSE,FALSE,Alternate
103,setPulseReferencePoint,:PULS:DET:THR:REF,2,TRUE,FALSE,FALSE,Alternate
104,setPulseReferenceLevel,:PULS:DET:THR,2,TRUE,FALSE,FALSE,Alternate
105,setPulseHysteresisLevel,:PULS:DET:HYST,2,TRUE,FALSE,FALSE,Alternate
106,getTraceDataName,:TRAC:DATA:NAME:LIST?,2,FALSE,TRUE,FALSE,Alternate
107,setTraceVisible,:TRAC#:VIS,2,TRUE,FALSE,FALSE,Alternate
108,setTraceName,:TRAC#:DATA:Name,2,TRUE,FALSE,FALSE,Alternate
109,setDisplayLayout,:DISP:LAY,2,TRUE,FALSE,FALSE,Alternate
110,setDisplayPoints,:PULSe:Advanced:Trend:Points:Display,2,TRUE,FALSE,FALSE,Alternate
111,setBufferLength,:PULSe:Advanced:Trend:Points:Buffer,2,TRUE,FALSE,FALSE,Alternate
112,setTraceModeSA,:TRAC#:TYPE,2,TRUE,FALSE,FALSE,Alternate
113,setCenterFrequencyVSAMode,:SENS:FREQ:CENT,0,TRUE,FALSE,FALSE,Alternate
114,getScreenDumpVSA,:MMEM:DATA?,2,TRUE,TRUE,TRUE,Alternate
115,getSweepTimeOBW,:SENS:OBW:SWE:TIME?,0.1,FALSE,TRUE,FALSE,Control
116,setAutoRange,:Inp:Anal:Rang:Auto,0.1,FALSE,False,FALSE,Alternate
117,setAverageCount,:SENS:AVER:COUN,0,TRUE,FALSE,FALSE,Control
